"","V1","V2","V3","V4","total"
"265","2020",3,"14","@restivogab",5758
"266","2020",3,"15","@realDonaldTrump",11987
"267","2020",3,"15","@LBGEEVEE",8737
"268","2020",3,"15","@micheljessica",5979
"269","2020",3,"15","@RomitBMD",4646
"270","2020",3,"15","@reneeyoxon",4230
"271","2020",3,"16","@realDonaldTrump",8947
"272","2020",3,"16","@idriselba",8595
"273","2020",3,"16","@mrspaceman",5606
"274","2020",3,"16","@maxbrooksauthor",5555
"275","2020",3,"16","@Melbrooks",5503
"276","2020",3,"17","@realDonaldTrump",24934
"277","2020",3,"17","@BalkanBlood",22020
"278","2020",3,"17","@GoughCJ",18195
"279","2020",3,"17","@idriselba",16157
"280","2020",3,"17","@FaheemYounus",15715
"281","2020",3,"18","@realDonaldTrump",33373
"282","2020",3,"18","@cottoncandaddy",6477
"283","2020",3,"18","@lachlan",6431
"284","2020",3,"18","@charliekirk11",5902
"285","2020",3,"18","@KKMPutrajaya",5583
"286","2020",3,"19","@realDonaldTrump",46524
"287","2020",3,"19","@baeonda",29694
"288","2020",3,"19","@charliekirk11",20926
"289","2020",3,"19","@narendramodi",12184
"290","2020",3,"19","@BolsonaroSP",9957
"291","2020",3,"20","@realDonaldTrump",28788
"292","2020",3,"20","@AOC",13941
"293","2020",3,"20","@narendramodi",13013
"294","2020",3,"20","@charliekirk11",12626
"295","2020",3,"20","@DearDean22",10192
"296","2020",3,"21","@realDonaldTrump",29838
"297","2020",3,"21","@narendramodi",18156
"298","2020",3,"21","@hrmoroz",13400
"299","2020",3,"21","@mohdkhairul",12812
"300","2020",3,"21","@antoniokeko9",10080
"301","2020",3,"22","@realDonaldTrump",44596
"302","2020",3,"22","@narendramodi",28558
"303","2020",3,"22","@KyarraIman",16228
"304","2020",3,"22","@jairbolsonaro",8942
"305","2020",3,"22","@eugenegu",8704
"306","2020",3,"23","@realDonaldTrump",48860
"307","2020",3,"23","@HaddadFernando",17278
"308","2020",3,"23","@narendramodi",15950
"309","2020",3,"23","@eugenegu",13848
"310","2020",3,"23","@t3rr3z",12850
"311","2020",3,"24","@realDonaldTrump",12495
"312","2020",3,"24","@narendramodi",10653
"313","2020",3,"24","@WHO",3810
"314","2020",3,"24","@SpeakerPelosi",3474
"315","2020",3,"24","@RealJamesWoods",3329
"316","2020",3,"25","@realDonaldTrump",13241
"317","2020",3,"25","@narendramodi",7148
"318","2020",3,"25","@JordanRowes",4943
"319","2020",3,"25","@WHO",4054
"320","2020",3,"25","@KKMPutrajaya",3867
"321","2020",3,"26","@realDonaldTrump",32986
"322","2020",3,"26","@narendramodi",13819
"323","2020",3,"26","@charliekirk11",10658
"324","2020",3,"26","@jairbolsonaro",9704
"325","2020",3,"26","@dglo4me",9131
"326","2020",3,"27","@realDonaldTrump",47856
"327","2020",3,"27","@BorisJohnson",16896
"328","2020",3,"27","@scenyor",11882
"329","2020",3,"27","@morekimo",11346
"330","2020",3,"27","@narendramodi",10090
"331","2020",3,"28","@realDonaldTrump",38440
"332","2020",3,"28","@morekimo",31481
"333","2020",3,"28","@ChicagoTraderrr",24859
"334","2020",3,"28","@narendramodi",18752
"335","2020",3,"28","@MichaelCoudrey",11923
"336","2020",3,"29","@realDonaldTrump",51751
"337","2020",3,"29","@narendramodi",19600
"338","2020",3,"29","@WHO",19483
"339","2020",3,"29","@JulianEpp",16973
"340","2020",3,"29","@RealCandaceO",11852
"341","2020",3,"30","@realDonaldTrump",35590
"342","2020",3,"30","@AmberHobbs7",13853
