"","Year","Month","Day","Text","Count"
"395",2021,7,14,"delta",4446
"396",2021,7,16,"covid-19",51909
"397",2021,7,16,"covid",38997
"398",2021,7,16,"covid19",32559
"399",2021,7,16,"epoc",6625
"400",2021,7,16,"coronavirus",5440
"401",2021,7,18,"covid-19",30868
"402",2021,7,18,"covid",30162
"403",2021,7,18,"covid19",22105
"404",2021,7,18,"coronavirus",4549
"405",2021,7,18,"delta",3390
"406",2021,7,19,"covid-19",41870
"407",2021,7,19,"covid",40508
"408",2021,7,19,"covid19",32166
"409",2021,7,19,"coronavirus",5934
"410",2021,7,19,"juntoscontralacovid19",5456
"411",2021,7,20,"covid",44763
"412",2021,7,20,"covid-19",42417
"413",2021,7,20,"covid19",35821
"414",2021,7,20,"coronavirus",6000
"415",2021,7,20,"delta",4884
"416",2021,7,21,"covid",45460
"417",2021,7,21,"covid-19",44156
"418",2021,7,21,"covid19",30550
"419",2021,7,21,"san juan",5630
"420",2021,7,21,"coronavirus",5352
"421",2021,7,23,"covid-19",46801
"422",2021,7,23,"covid",43737
"423",2021,7,23,"covid19",33325
"424",2021,7,23,"coronavirus",5554
"425",2021,7,23,"delta",4052
"426",2021,7,24,"covid-19",36392
"427",2021,7,24,"covid",33832
"428",2021,7,24,"covid19",28432
"429",2021,7,24,"coronavirus",3781
"430",2021,7,24,"pcr",3607
"431",2021,7,25,"covid",31568
"432",2021,7,25,"covid-19",30392
"433",2021,7,25,"covid19",27390
"434",2021,7,25,"luchacontralacovid19",7350
"435",2021,7,25,"coronavirus",3525
"436",2021,7,27,"covid",55683
"437",2021,7,27,"covid-19",46596
"438",2021,7,27,"covid19",38737
"439",2021,7,27,"o2",10345
"440",2021,7,27,"coronavirus",6978
"441",2021,7,29,"covid",47992
"442",2021,7,29,"covid-19",43865
"443",2021,7,29,"covid19",41151
"444",2021,7,29,"coronavirus",5276
"445",2021,7,29,"delta",4333
"446",2021,7,31,"covid",39790
"447",2021,7,31,"covid-19",35372
"448",2021,7,31,"covid19",25840
"449",2021,7,31,"delta",13766
"450",2021,7,31,"coronavirus",4033
"451",2021,8,1,"covid",40006
"452",2021,8,1,"covid-19",31054
"453",2021,8,1,"covid19",22996
"454",2021,8,1,"delta",7201
"455",2021,8,1,"coronavirus",3651
"456",2021,8,2,"covid",38315
"457",2021,8,2,"covid-19",35875
"458",2021,8,2,"covid19",30869
"459",2021,8,2,"cuidémonosdelacovid19",7628
"460",2021,8,2,"delta",5224
"461",2021,8,4,"covid-19",51682
"462",2021,8,4,"covid",43640
"463",2021,8,4,"covid19",30639
"464",2021,8,4,"sinopharm",7721
"465",2021,8,4,"coronavirus",6773
"466",2021,8,5,"covid-19",44043
"467",2021,8,5,"covid",36964
"468",2021,8,5,"covid19",28768
"469",2021,8,5,"coronavirus",5042
"470",2021,8,5,"delta",4312
"471",2021,8,6,"covid",61567
"472",2021,8,6,"covid-19",44019
"473",2021,8,6,"covid19",31981
"474",2021,8,6,"delta covid",11353
"475",2021,8,6,"delta plus covid",11351
"476",2021,8,7,"covid",47930
"477",2021,8,7,"covid-19",39288
"478",2021,8,7,"covid19",28767
"479",2021,8,7,"coronavirus",4794
"480",2021,8,7,"delta covid",3206
"481",2021,8,8,"covid",39977
"482",2021,8,8,"covid-19",38601
"483",2021,8,8,"covid19",23788
"484",2021,8,8,"coronavirus",4306
"485",2021,8,8,"covid 19",2964
"486",2021,8,9,"covid-19",40976
"487",2021,8,9,"covid",38001
"488",2021,8,9,"covid19",30862
"489",2021,8,9,"delta",7857
"490",2021,8,9,"coronavirus",5694
"491",2021,8,10,"covid-19",39672
"492",2021,8,10,"covid",37574
"493",2021,8,10,"covid19",30534
"494",2021,8,10,"covid 19",5983
"495",2021,8,10,"coronavirus",5041
"496",2021,8,11,"covid-19",44203
"497",2021,8,11,"covid",41658
"498",2021,8,11,"covid19",35752
