"","Year","Month","Day","hour","Sentiment","Count","Percentage"
"301","2020",2,2,5,"negative",2820,0.789694763371605
"302","2020",2,2,5,"neutral",451,0.12629515541865
"303","2020",2,2,5,"positive",300,0.0840100812097452
"304","2020",2,2,6,"negative",2476,0.814473684210526
"305","2020",2,2,6,"neutral",329,0.108223684210526
"306","2020",2,2,6,"positive",235,0.0773026315789474
"307","2020",2,2,7,"negative",1267,0.815315315315315
"308","2020",2,2,7,"neutral",168,0.108108108108108
"309","2020",2,2,7,"positive",119,0.0765765765765766
"310","2020",2,2,8,"negative",2268,0.81
"311","2020",2,2,8,"neutral",316,0.112857142857143
"312","2020",2,2,8,"positive",216,0.0771428571428571
"313","2020",2,2,9,"negative",1353,0.823995127892814
"314","2020",2,2,9,"neutral",179,0.109013398294762
"315","2020",2,2,9,"positive",110,0.0669914738124239
"316","2020",2,2,10,"negative",3314,0.830784657808975
"317","2020",2,2,10,"neutral",482,0.120832288794184
"318","2020",2,2,10,"positive",193,0.0483830533968413
"319","2020",2,2,11,"negative",2469,0.838654891304348
"320","2020",2,2,11,"neutral",324,0.110054347826087
"321","2020",2,2,11,"positive",151,0.0512907608695652
"322","2020",2,2,12,"negative",4612,0.847326841815175
"323","2020",2,2,12,"neutral",558,0.102516994304611
"324","2020",2,2,12,"positive",273,0.0501561638802131
"325","2020",2,2,13,"negative",4649,0.839776011560694
"326","2020",2,2,13,"neutral",578,0.104407514450867
"327","2020",2,2,13,"positive",309,0.0558164739884393
"328","2020",2,2,14,"negative",4366,0.815465072842734
"329","2020",2,2,14,"neutral",642,0.11991034740381
"330","2020",2,2,14,"positive",346,0.0646245797534554
"331","2020",2,2,15,"negative",4905,0.810609816559246
"332","2020",2,2,15,"neutral",758,0.125268550652785
"333","2020",2,2,15,"positive",388,0.0641216327879689
"334","2020",2,2,16,"negative",5625,0.818062827225131
"335","2020",2,2,16,"neutral",858,0.12478184991274
"336","2020",2,2,16,"positive",393,0.0571553228621291
"337","2020",2,2,17,"negative",7137,0.828919860627178
"338","2020",2,2,17,"neutral",998,0.115911730545877
"339","2020",2,2,17,"positive",475,0.0551684088269454
"340","2020",2,2,18,"negative",5546,0.847623414335932
"341","2020",2,2,18,"neutral",700,0.106984563655815
"342","2020",2,2,18,"positive",297,0.0453920220082531
"343","2020",2,2,19,"negative",8540,0.834636434714621
"344","2020",2,2,19,"neutral",1188,0.116106333072713
"345","2020",2,2,19,"positive",504,0.0492572322126661
"346","2020",2,2,20,"negative",12476,0.839061133902751
"347","2020",2,2,20,"neutral",1662,0.111776178626673
"348","2020",2,2,20,"positive",731,0.0491626874705764
"349","2020",2,2,21,"negative",9108,0.83644044448526
"350","2020",2,2,21,"neutral",1157,0.106254017816145
"351","2020",2,2,21,"positive",624,0.0573055376985949
